Date,Date,Date.2,Date.1,Close,High,Low,Open,Volume
727,727,728,2022-11-14,0.9017091841654442,0.898628222223944,0.8946239675663865,0.9048370341659842,0.0940826458416422
728,728,729,2022-11-15,0.924129316872186,0.9320775009590831,0.9210288808409576,0.9100035499857528,0.1245828098055388
729,729,730,2022-11-16,0.8932610873519039,0.8982869591803387,0.8867430944886732,0.8998373009379672,0.155416659943557
730,730,731,2022-11-17,0.9104822025374822,0.9059665218948642,0.9124167870641576,0.9120033537284776,0.1382289727774344
731,731,732,2022-11-18,0.9134066328565617,0.9112571355515016,0.9150167838581408,0.9058370714544688,0.1606206766781316
732,732,733,2022-11-21,0.9257539246646744,0.9265310947472536,0.9322408574104116,0.923336285199954,0.1449094743540011
733,733,734,2022-11-22,0.9407004526481688,0.9392451226917794,0.9389027964454352,0.9256693458015576,0.1226593906325419
734,734,735,2022-11-23,0.9499609896505536,0.9464128791844996,0.9569394874270508,0.9466686482522448,0.0949106530225831
735,735,736,2022-11-24,0.9489862249750604,0.9469248191936088,0.9541771354797536,0.947835246891494,0.0804467399856508
736,736,737,2022-11-25,0.968319466583474,0.9619429026091524,0.9598643894749042,0.950001845349188,0.1087362855312343
737,737,738,2022-11-28,0.9566222904775564,0.9595538424029064,0.9632768647740256,0.959168375155494,0.0946721000988942
738,738,739,2022-11-29,0.9502859112090511,0.948802156623014,0.9532022878846927,0.9510018997831944,0.0779903706675756
739,739,740,2022-11-30,0.9465493132863276,0.9535806274344706,0.9519023365794664,0.953001756842524,0.3335756252057046
740,740,741,2022-12-01,0.9556472532168632,0.9583590528163942,0.962464313247871,0.9546684322167076,0.0611425479383706
741,741,742,2022-12-02,0.931764973496882,0.9482901949339624,0.9354905923598472,0.9533351307964804,0.1860118371916184
742,742,743,2022-12-05,0.9316025127176332,0.936514531935438,0.9432901774620432,0.9355023969164262,0.0649471581580691
743,743,744,2022-12-06,0.9234792011699904,0.9371970907343744,0.9338655215796394,0.9221694307177726,0.0999251230538997
744,744,745,2022-12-07,0.9090200555242426,0.913134176973134,0.905429599481966,0.9058369770200544,0.1531112681736149
745,745,746,2022-12-08,0.9057708399392655,0.9071612634197356,0.910792012092242,0.9123368701137552,0.0886691680033408
746,746,747,2022-12-09,0.8997596548144579,0.901870764096636,0.904779683093264,0.9016705385157344,0.1022144393439452
747,747,748,2022-12-12,0.9064204104710608,0.8984573855973944,0.9060794287937082,0.8966704521878217,0.0601543258066696
748,748,749,2022-12-13,0.9234792011699904,0.927810746961545,0.9270408879105264,0.9188362761526184,0.138682385286905
749,749,750,2022-12-14,0.9312777274517352,0.9254218391576672,0.9260661525896878,0.923669750168654,0.0964901289055543
750,750,751,2022-12-15,0.9293281981007492,0.936173457362859,0.9322408932816104,0.925002899663114,0.1135934797853539
751,751,752,2022-12-16,0.9160061416171432,0.9122810723819224,0.9150168019835632,0.9143366738247468,0.2884621902013591
752,752,753,2022-12-19,0.9103196054656334,0.9032359286918552,0.9083543897904358,0.8966705375999111,0.0471492625703504
753,753,754,2022-12-20,0.9054457820881676,0.9092090346800432,0.9112792854699748,0.9101700156987762,0.0786611020713196
754,754,755,2022-12-21,0.8956979990406365,0.9121102825938188,0.90802955276207,0.9135033575880208,0.1160413914815432
755,755,756,2022-12-22,0.9101572809789844,0.90920905122801,0.917616479175041,0.902503673892211,0.0667236786360411
756,756,757,2022-12-23,0.8971600097612763,0.8895830697811083,0.8995797900312126,0.8916706606875082,0.061010944942501
757,757,758,2022-12-28,0.8692160742674734,0.8825860456662377,0.876018465160534,0.8870041564700915,0.0789367845549188
758,758,759,2022-12-29,0.8526449384914906,0.8615950179271487,0.8612318142988018,0.8656718482316601,0.0820751021227851
759,759,760,2022-12-30,0.8610930353050309,0.8586938321316021,0.8726063300517073,0.855838952657834,0.0711993801582871
760,760,761,2023-01-03,0.8359112056436587,0.8714934126154371,0.8345832181674135,0.8755049602751603,0.081538912888474
761,761,762,2023-01-04,0.8698659173844688,0.8610828366318896,0.8483947234354774,0.8383393565775215,0.1155035827026156
762,762,763,2023-01-05,0.8727904839961483,0.8851460231747582,0.8833307277442255,0.872671540123859,0.080554829593015
763,763,764,2023-01-06,0.8705160330866645,0.8658615480354234,0.8721187805158945,0.8613386772663902,0.1259387285483068
764,764,765,2023-01-09,0.8727904839961483,0.8780637530774765,0.8843056401209006,0.8780046644308228,0.0418752455184651
765,765,766,2023-01-10,0.8727904839961483,0.8740532356759892,0.8734187053428162,0.8601720181089394,0.0434913710962751
766,766,767,2023-01-11,0.8762021603603741,0.8711518536919286,0.879918348890725,0.8750047104892311,0.0444899703101482
767,767,768,2023-01-12,0.9030088703994348,0.8962389322649998,0.8927552858791961,0.8850044850684449,0.1041886042482574
768,768,769,2023-01-13,0.9244539658454834,0.9254215383600828,0.9220035697540324,0.9075033908012962,0.0947059905695716
769,769,770,2023-01-16,0.938263540959436,0.9344666209379808,0.9340281896936062,0.9248362016256442,0.0539868599747123
770,770,771,2023-01-17,0.9397256879726756,0.9406102837580786,0.9462149926998442,0.9350023895275076,0.118647058820001
771,771,772,2023-01-18,0.9431375006295016,0.9414637139233376,0.942802750035762,0.9393355418013524,0.0843044952620222
772,772,773,2023-01-19,0.9608462707380266,0.9556287317283976,0.9486526764874514,0.9505020892149376,0.1107089508571979
773,773,774,2023-01-20,0.959546448211436,0.9610896304113382,0.967338958504022,0.9583348101552138,0.203371376036486
774,774,775,2023-01-23,0.9587342806077916,0.9604071907198348,0.9676642156595934,0.9633348796348018,0.1215822135132043
775,775,776,2023-01-24,0.9496360680920558,0.9506793258770936,0.9506022624480552,0.9533350364177124,0.068628383071248
776,776,777,2023-01-25,0.9623084177512664,0.9619429613014512,0.9577520932344996,0.94683544303419,0.076185358200981
777,777,778,2023-01-27,0.9788796898198494,0.9747424037118372,0.97660105641716,0.971667744488354,0.1101061803442108
778,778,779,2023-01-30,0.9774174065140095,0.9773021560682724,0.9869191706391188,0.9750007323497948,0.0668728566901558
779,779,780,2023-01-31,0.9822915024766752,0.9832754756143316,0.9874881890966394,0.9776676013641268,0.0836581769937929
780,780,781,2023-02-01,0.983753649489915,0.9894191386084392,0.9871630387570542,0.9881670540402868,0.1011586162202911
781,781,782,2023-02-02,0.9769302967614631,0.984982206530456,0.9892756376006496,0.9891672298225234,0.1149579761162756
782,782,783,2023-02-03,1.0,1.0,0.9904128620673962,0.9783340646314428,0.1281618834416139
783,783,784,2023-02-06,0.993501568830046,0.999146828624754,1.0,1.0,0.0584994511243328
784,784,785,2023-02-07,0.9861905611786478,0.9933442887086388,0.9928501547402706,0.994333448449838,0.0753160226407538
785,785,786,2023-02-08,0.9865156190297454,0.9873714132014874,0.996100252303684,0.9866672792826487,0.0681280037679005
786,786,787,2023-02-09,0.984728414165408,0.985835315811666,0.9870005297234812,0.9835006045906004,0.0616501852009252
787,787,788,2023-02-10,0.9805042976123378,0.9788383219384144,0.9865130668733462,0.977500817168656,0.0699186802654829
788,788,789,2023-02-13,0.9699440743759624,0.9738890280727044,0.977900876326396,0.9776673743088836,0.0720738142848993
789,789,790,2023-02-14,0.9691320430649184,0.9824223819991236,0.978876128503267,0.9851673883571564,0.0816871312124457
790,790,791,2023-02-15,0.8675916027675851,0.9098917563803351,0.8649691513835036,0.8818378819248187,0.4061920469202469
791,791,792,2023-02-16,0.843221940709857,0.861424288642021,0.8534322365082163,0.8526723337181394,0.2642880874755636
792,792,793,2023-02-17,0.8346112468244679,0.8487953892825842,0.8417326937080525,0.8333395772601897,0.2207351137007296
793,793,794,2023-02-20,0.8550818501802234,0.8457235607895964,0.8470950102081296,0.8300064746872169,0.0748008874864565
794,794,795,2023-02-21,0.8435467259757546,0.8426516348493761,0.8506696893972634,0.847172421768084,0.0894984348300944
795,795,796,2023-02-22,0.8398972190244572,0.8435976794874517,0.8399409424509001,0.826419922101364,0.1796564442010195
796,796,797,2023-02-23,0.8515098937183493,0.8510909289860505,0.8565332404049864,0.839353552097954,0.1209441129343251
797,797,798,2023-02-24,0.873408025766934,0.8634635481180367,0.8606812022875006,0.8449693941679377,0.1513354674932502
798,798,799,2023-02-27,0.8762283285395821,0.871479809912275,0.8776056438328448,0.8672631080442772,0.0914619227365649
799,799,800,2023-02-28,0.8646156538456901,0.870782735915253,0.8731256189316305,0.8693053220710534,0.229797485543015
800,800,801,2023-03-01,0.837408788732909,0.8474314271297226,0.8497304493425042,0.8476924022535259,0.1342886807087583
801,801,802,2023-03-02,0.8045610454896318,0.8340126936794136,0.8168771310297442,0.8359497562827494,0.217322193345675
802,802,803,2023-03-03,0.8158421202876239,0.8081345335336835,0.8188684038832466,0.8025945243704697,0.1490361340198363
803,803,804,2023-03-06,0.8299433615656643,0.8275652404601693,0.833967542879325,0.8177406863475125,0.0830112588942241
804,804,805,2023-03-07,0.8349203584413608,0.8279137782838878,0.8347972778765567,0.8289726019875032,0.1266035816049243
805,805,806,2023-03-08,0.8267913226045164,0.822511445187747,0.8294875451870192,0.8204634061677993,0.0906740442722315
806,806,807,2023-03-09,0.8319340512818628,0.8279135962171348,0.8392770050512219,0.8282916870698689,0.1049921982936837
807,807,808,2023-03-10,0.7786815340086498,0.7906210932413086,0.7863473685570441,0.7942556869101516,0.1828821571950399
808,808,809,2023-03-13,0.7722115879921042,0.7826049267291967,0.7805399100337942,0.7804710928679108,0.1308401903552759
809,809,810,2023-03-14,0.7748657500853023,0.7587305090801827,0.7501757626511281,0.731799328479531,0.2611213978853426
810,810,811,2023-03-15,0.776856576094101,0.7881813020270269,0.7765576821715809,0.7838745674974252,0.1686505588358665
811,811,812,2023-03-16,0.7751977588590021,0.7738917334591228,0.7551535564570948,0.7464350146981154,0.3681592609789979
812,812,813,2023-03-17,0.7942755881349389,0.7822562353644297,0.788172327730396,0.784385217966149,0.3659665775177335
813,813,814,2023-03-20,0.7881375145994932,0.790969466975786,0.783526469763804,0.7668565110556189,0.1037212156685783
814,814,815,2023-03-21,0.795436801087288,0.7977657184122572,0.8032714395169587,0.7957872285155172,0.1124323862616309
815,815,816,2023-03-22,0.805722531027181,0.8193747633534746,0.8180388136999406,0.8128054166397853,0.1523004761521155
816,816,817,2023-03-23,0.8038975731126322,0.7956746669496936,0.806589910121339,0.7935748358575188,0.0929922124497034
817,817,818,2023-03-24,0.7841559988744958,0.7850446198065196,0.7883383686726957,0.7811518296269364,0.1448452924006827
818,818,819,2023-03-27,0.7713819749356549,0.7799908432137829,0.7831946767202751,0.7876185605171147,0.1013873918931475
819,819,820,2023-03-28,0.7878056421183933,0.7813849824326516,0.7908271672375076,0.7736637499938337,0.0938498512988118
820,820,821,2023-03-29,0.7924507665129902,0.7772025929625849,0.7800421203191756,0.7687285533257524,0.1061818437891633
821,821,822,2023-03-30,0.8158421202876239,0.8052591512934472,0.8158817625995929,0.8070191255614425,0.1356088495036965
822,822,823,2023-03-31,0.8252982371710674,0.8197231949739007,0.8308150143470932,0.8204634524291259,0.1318940940186438
823,823,824,2023-04-03,0.8410582956842064,0.8409834811146791,0.8414341369626221,0.8245477306918232,0.1094291507114029
824,824,825,2023-04-04,0.8362473031953598,0.838543662423321,0.8406043481574215,0.8442886173022746,0.0736128615355934
825,825,826,2023-04-05,0.8375745205345589,0.8338385965073142,0.8434251740418637,0.8262496681891129,0.0710704764034448
826,826,827,2023-04-06,0.8367450437707095,0.8319217316080357,0.8377006957084343,0.8383323986333773,0.0857655644385911
827,827,828,2023-04-11,0.8491871952284508,0.842725995877326,0.8560353250434396,0.8436078989081184,0.0881980604693572
828,828,829,2023-04-12,0.8403948233072068,0.847257018896637,0.84359110703543,0.8544995474593597,0.0783012632507991
829,829,830,2023-04-13,0.8236392836433685,0.8320959484543059,0.8356266878645053,0.8356094940204473,0.079070966825548
830,830,831,2023-04-14,0.8384039972984082,0.8284363784320329,0.8356266607186147,0.8182511054415835,0.0600933829425842
831,831,832,2023-04-17,0.848855459039951,0.8493482705849144,0.8583583807336486,0.8485432810864331,0.1024918013552949
832,832,833,2023-04-18,0.8432149897872551,0.8343614353346701,0.8508917775661751,0.8335673730442927,0.0898646318628128
